,company_name,founded_year,company_hq_location,sector,company_description,founders,investor,amount_usd,funding_round,funding_month,funding_year
1225,Zeta,2015.0,San Francisco,Financial Services,Zeta is a modern banking tech company providing modern core and processing for FIs and embeddable banking for fintech and distributors,"Bhavin Turakhia, Ramki Gaddipati",Multiples,30000000.0,Unknown,4,2022
1226,Rebel Foods,2010.0,Pune,Food & Beverages,"Rebel Foods Private Limited, also popularly known as Faasos",Rvi Shankar venkatranam,,14500000.0,Series F,4,2022
1230,Lenskart,2010.0,"Faridabad, Haryana",E-Commerce,Lenskart is an India-based online shopping portal for eyewear.,"Amit Chaudhary, Peyush Bansal",Multiples,899300000.0,Series I,4,2022
1231,Upstox,2010.0,Mumbai,Financial Services,Upstox is a fin-tech company to allow innovative investment options for its users.,"Raghu Kumar, Ravi Kumar, Shrinivas Viswanath",Tiger Global Management and GVK Davix Technologies,29000000.0,Undisclosed,4,2022
1232,Appsforbharat,2020.0,Bengaluru,Information Technology & Services,AppsForBharat develops a range of mobile apps for the spiritual and devotional needs of Indian users.,Prashant Sachan,Mirae Asset Global Investments and MSA Novo,23000000.0,Undisclosed,4,2022
1233,OkCredit,2017.0,"Faridabad, Haryana",Financial Services,OkCredit simplifies credit account management for shop owners and their customers.,"Aditya Prasad, Gaurav Kumar, Harsh Pokharna",Google for Startups and Lightspeed India Partners,84200000.0,Undisclosed,4,2022
1234,Livspace,2014.0,Bengaluru,E-Commerce,"Livspace is an interior design startup that offers a platform that connects people to designers, services, and product","Anuj Srivastava, Ramakant Sharma, Shagufta Anurag",Jungle Ventures and Peugeot SA,431600000.0,Series F,4,2022
1236,MobiKwik,2009.0,Gurugram,Financial Services,"MobiKwik is India’s leading fintech platform, operating businesses in consumer payments, payment gateway, and financial services.","Bipin Singh, Chandan Joshi, Upasana Taku",Abu Dhabi Investment Authority and Dosch,165500000.0,Series G,4,2022
1241,MoEngage,2014.0,San Francisco,Information Technology & Services,MoEngage is an internet company that features cloud-based marketing services for consumer businesses.,"Raviteja Dodda, Yashwanth Kumar","Eight Roads Ventures, Matrix Partners Ind",133000000.0,Undisclosed,4,2022
1245,Slice,2010.0,New York,Food & Beverages,Slice is a provider of tools for pizzerias to manage the digital side of their businesses.,Iler Sela,Kohlberg Kravis Roberts and Dick Costolo,125000000.0,Series D,4,2022
1247,UpGrad,2015.0,Mumbai,E-Learning,UpGrad is an online higher education platform providing various program,"Mayank Kumar, Phalgun Kompalli, Ravijot Chugh, Ronnie Screwvala",IIFL Finance and International Finance Corporation,201000000.0,Undisclosed,4,2022
1249,Chargebee,2011.0,San Francisco,Software,Chargebee provides subscription and recurring billing systems for SaaS and e-commerce businesses.,"KP Saravanan, Krish Subramanian, Rajaraman Santhanam, Thiyagarajan Thiyagu",Sequoia Capital India and Insight Partners,468200000.0,Series H,4,2022
1254,Chalo,2014.0,Mumbai,Information Technology & Services,Chalo develops a transport application that delivers real-time transit information,"Dhruv Chopra, Mohit Dubey, Nikhil Aggarwal, Priya Singh, Vinayak Bhavnan",Matrix Partners and Lightrock,61000000.0,Undisclosed,4,2022
1257,Classplus,2018.0,Noida,E-Learning,Classplus offers a mobile-first SaaS platform for 3000+ tutors to offer their curriculum and operations completely online.,"Bhaswat Agarwal, Bikash Dash, Mukul Rustagi, Nikhil Goel, Vatsal Rustag",Alpha Wave Ventures and Chimera Investm,129500000.0,Series D,4,2022
1259,Mamaearth,2016.0,Gurugram,"Health, Wellness & Fitness",Mamaearth is a personal care brand that specializes in baby and toddler products.,"Ghazal Alagh, Varun Alagh",Evolvence India Fund and Sofina,110800000.0,Unknown,4,2022
1261,DealShare,2018.0,Bengaluru,E-Commerce,DealShare is a fast growing social e-commerce startup,"Rajat Shikhar, Sankar Bora, Sourjyendu Medda, Vineet Rao",Abu Dhabi Investment Authority and Twenty Nine Capital Partners,624800000.0,Series E,4,2022
1264,Doubtnut,2016.0,Gurugram,E-Learning,"Doubtnut operates as an e-learning platform that enables users to ask study questions in Physics, Chemistry, and Math.","Aditya Shankar, Ravi Sekhar KV, Tanushree Nagori",Sequoia Capital India and Lupa Systems,49900000.0,Series B,4,2022
1265,Whitehar Jr,2018.0,Maharastra,Information Technology & Services,Whitehar Jr - leading and best computer programming learning websites teaching kids to code.,Karan Bajaj,Bossanova Investimentos and Omidyar Network,11300000.0,Unknown,4,2022
1267,Leaf Round,2022.0,Bengaluru,Financial Services,Leaf Round is a marketplace for leasing that provides investors options to buy assets and rent to businesses.,,Super Capital,300000.0,Pre-Seed,4,2022
1268,Wildermart,2021.0,Bengaluru,Food & Beverages,Wildermart is a healthy and sustainable grocery store startup.,,Abhinav Mathur and 17 other investors,24000000.0,Undisclosed,4,2022
1271,Lauriko,2021.0,Hyderabad,"Health, Wellness & Fitness",Lauriko is a Manufacture of food products and beverages company.,Lavanya Sunkari,Lakshmikant PB and Murthy Aradhi,37000000.0,Undisclosed,4,2022
1273,iTribe,2021.0,Bengaluru,Financial Services,"iTribe is a one-stop solution for customers to get news related to stocks, advisors, and investment ideas","Nikhil,Pruthvi",Eximius Ventures and PlanBcapital,1000000.0,Undisclosed,4,2022
1276,Glip,2020.0,Delaware,Software,Glip is a creator tool suite for gamers to create and monetise.,"Brett Paden, Claudio Pinkus, David Hersh, Jeff Strinko, Peter Pezaris",Better Capita,3000000.0,Seed,4,2022
1287,Last9,2020.0,Santa Clara,Software,Last9 is a Site Reliability Engineering platform that helps improve production systems.,"Nishant Modak, Piyush Verma",Better Capital and Sequoia Capital India,13000000.0,Series A,4,2022
1288,LoadShare,2017.0,Bengaluru,Logistics & Supply Chain,LoadShare is one of India's fastest-growing logistics companies with a  far-reaching express and logistics network,"Raghuram Talluri, Pramod Nair",Tiger Global,40000000.0,Series C,2,2022
1289,Scaler,2019.0,Bengaluru,E-Learning,Scaler is devoted to creating a growth ecosystem to help software professionals unlock talent and opportunities at every stage of their career.,Abhimanyu Saxena,Lightrock India,55000000.0,Unknown,2,2022
1290,Chargebee,2011.0,Chennai,Financial Services,Chargebee is a recurring billing and subscription management tool that helps SaaS and SaaS-like businesses streamline Revenue Operations.,"Krish Subramanian, Thiyagarajan T, Rajaraman Santhanam, Saravanan KP","Tiger Global, Sequoia Capital",250000000.0,Unknown,2,2022
1292,Waterfield Advisors,2011.0,Mumbai,Financial Services,"India's largest Multi-Family Office and Wealth Advisory firm, providing holistic advice without any conflict of interest",Soumya Rajan,,6000000.0,Series B,2,2022
1294,Scrut Automation,2021.0,Bengaluru,Information Technology & Services,"Scrut Provides the deepest cloud integration, which monitors against 140+ vulnerabilities","Ayush Ghosh Choudhury, Kush Kaushik","Lightspeed, Endiya Partners",3000000.0,Unknown,2,2022
1298,Jar,2021.0,Bengaluru,Financial Services,Jar is a daily gold savings app that lets you save money by taking spare change from your online transactions and investing it in digital gold automatically.,"Misbah Ashraf, Nishchay AG",Tiger Global,32000000.0,Series A,2,2022
1299,Bombay Shaving Company,2015.0,New Delhi,Consumer Goods,Personal care and hair removal brand,Shantanu Deshpande,Gulf Islamic Investments,6000000.0,Unknown,2,2022
1300,Logibricks,2017.0,Pune,Computer Software,Logibricks is a SaaS platform that helps online retailers manage their post-purchase operations from start to finish.,"Ameya Shah, Karan Kabra, Shereef Mohammed",Shiprocket,1500000.0,Unknown,2,2022
1301,Pillow,2021.0,Bengaluru,Financial Services,"Pillow aims to make participation in DeFi as simple as possible, by abstracting out all technical, security, and strategic concerns","Arindam Roy, Rajath KM, Kartik Mishra",Elevation Capital,3000000.0,Seed,2,2022
1304,Kritsnam,2015.0,Hyderabad,Information Technology & Services,Kritsnam Technologies has evolved from IIT Kanpur research and innovation centre with a vision towards data-driven water management.,"K Sri Harsha, Prudhvi Sagar, Vinay Chataraju, Neeraj Rai","Ashish Gupta, Kunal Shah, Vikram Karunakaram",800000.0,Pre-Series A,2,2022
1305,Dvara SmartGold,2019.0,Mumbai,Financial Services,Investment service to financially integrate every household in the country through a uniquely curated gold savings plan.,Sanjeev Agarwal,"Axilor, Dvara Holdings",2000000.0,Pre-Series A,2,2022
1306,GoalTeller,2020.0,Bengaluru,Information Technology & Services,GoalTeller is a bootstrapped fintech startup with an aim to provide financial planning tools to individual investors.,"Vivek Banka, Abhisek Puglia","Dr Ranjan Pai, Pankaj Fitkariwala, Himanshu Bhagat",500000.0,Pre-Series A,2,2022
1307,Goldsetu,2021.0,Bengaluru,Saas,Gold Setu is a mobile-first SaaS platform for jewellery retailers that helps them to automate their workflows and digitally engage with their customers.,"Vikas Verma, Anuj Sachdev","Village Global, Better Capital, Titan Capital, iSeed",1200000.0,Seed,2,2022
1309,Elever,2020.0,Bengaluru,Financial Services,"India’s one-of-a-kind, fully personalised, goal-based investing app.","Anshul Sharan, Ram Subramaniam, Santosh R","Massimo Vita, Udaya Kumar",750000.0,Unknown,2,2022
1310,Hero FinCorp,1991.0,New Delhi,Financial Services,"Delhi-based ?Hero FinCorp?, a non-banking finance company",Abhimanyu Munjal,"Apollo, Hero MotoCorp",267000000.0,Unknown,2,2022
1314,Anveya Living,2018.0,Bengaluru,Consumer Goods,"Anveya is building powerful brands that create a positive impact for the consumer, the industry and the planet.","Vivek Singh, Saurav Patnaik",Rukam Capital,1000000.0,Seed,2,2022
1316,Mango Point,2018.0,Chennai,Food & Beverages,Natural and Healthy Fresh Mangoes and Mango Gourmet Products,"Manjula Gandhi Rooban, Prasanna Venkatarathnam","The Chennai Angels, Native Angel Network, Keiretsu Chennai",200000.0,Unknown,2,2022
1318,Sprinto,2020.0,Bengaluru,Computer Software,"Sprinto helps SaaS companies become SOC-2 compliant, close enterprise deals, and pass vendor security assessments easily","Girish Redekar, Raghuveer Kancherla",Elevation Capital,10000000.0,Series A,2,2022
1319,Xpressbees,2015.0,Pune,Logistics & Supply Chain,Fastest growing express logistics service provider in India catering to end-to-end supply chain solutions.,"Amitava Saha, Supam Maheshwari","Blackstone Growth, TPG Growth, ChrysCapital",300000000.0,Series F,2,2022
1320,Wealthy.in,2015.0,Bengaluru,Financial Services,Enable professionals to grow wealth for investors,"Aditya Agarwal, Prashant Gupta",Alpha Wave Incubation,7500000.0,Series A,2,2022
1321,xto10x,2019.0,Bengaluru,Information Technology & Services,Helping startups all over the world scale meaningfully into world-class companies.,"Binny Bansal, Saikiran Krishnamurthy",,25000000.0,Series A,2,2022
1322,Karbon Card,2019.0,Bengaluru,Financial Services,"Karbon Card is a B2B payment solution for India's finance leaders, entrepreneurs, business owners and corporate executives.","Pei-fu Hsieh, Amit Jangir, Kartik Jain, Sunil Sinha","Olive Tree Capital, Harmony, Avenir Growth Capital",15000000.0,Series A,2,2022
1323,Oloid,2018.0,Bengaluru,Computer Software,Oloid is a physical identity software platform committed to providing secure and privacy-forward authentication for the modern workplace.,"Madhu Madhusudhanan, Mohit Garg",Dell Technologies Capital,12000000.0,Series A,2,2022
1327,Life & Pursuits,2016.0,Noida,"Health, Wellness & Fitness","Life & Pursuits is an Ayurveda beauty & wellness brand that focuses on global demand for organic, safe and effective products.","Mudit Consul, Aditi Consul, Manshu Aneja, Mani Agarwal","Pankaj Agrawal, Supermorpheus and Eagle10 Ventures",500000.0,Unknown,2,2022
1330,Better Opinions,2021.0,Gurugram,Financial Services,"Better Opinions, an even trading platform",Samay Jain,"Java Capital, Soma Capital",1000000.0,Seed,2,2022
1332,Runo,2019.0,Secunderabad,Computer Software,"Runo delivers the functionalities of a full-function Customer Relationship Management suite, all built into a mobile app.","Rajsekhar Pattnaik, PV Vamsi",Unicorn India Ventures,500000.0,Pre-Series A,2,2022
1334,Altigreen,2012.0,Bengaluru,Automotive,"Altigreen is a leader in Electric Vehicle (EV) technology and solutions for Last Mile Transportation (LMT) through 2, 3 and 4 wheeled vehicles for commercial use.","Amitabh Saran, Lasse Mocklegaard, Shailendra Gupta, John Bangura",,40000000.0,Series A,2,2022
1335,InMobi’s Glance,2019.0,Bengaluru,Software,Glance is an artificial intelligence based software company that delivers personalised content to the lock screens of smartphones.,Naveen Tewari,Jio Platforms,200000000.0,Unknown,2,2022
1336,Kenko Health,2019.0,Mumbai,Hospital & Health Care,"Kenko Health is a new take on Health financing, with deeper and wider coverage options at significantly lower prices. Check out our plans with wide OPD coverage","Aniruddha Sen, Dhiraj Goel",Sequoia Capital India,12000000.0,Series A,2,2022
1340,RapiPay,2021.0,New Delhi,Financial Services,A single app for all banking and financial needs.,Nipun Jain,Varun Jaipuria,15000000.0,Unknown,2,2022
1341,Entri.app,2015.0,Kochi,E-Learning,"E-learning Entri is a vernacular language learning platform for India, focused on helping people acquire relevant job skills.",Mohammed Hisamuddin,"Omidyar Network India, Innospark Ventures",7000000.0,Series A,2,2022
1342,GOQii,2014.0,Mumbai,"Health, Wellness & Fitness",GOQii is a smart preventive healthcare ecosystem which enables you to live a healthy and active life!,Vishal Gondal,Sumeru Ventures,50000000.0,Series C,2,2022
1343,Proactive For Her,2020.0,Bengaluru,"Health, Wellness & Fitness","Proactive For Her is a digital platform for women, offering accessible, personalized and confidential healthcare solutions.",Achitha Jacob,"Vertex Ventures, Nexus Venture Partners",5500000.0,Series A,2,2022
1344,Actyv.ai,2019.0,Bengaluru,Computer Software,Large enterprises are using Actyv.ai to transform their supply chains and to empower their Channel Partners.,"Raghunath Subramanian, Raghu Venkat, Ramkumar Thirumurthi",1Digi Investment management,5000000.0,Pre-Series A,2,2022
1345,Lummo,2019.0,Bengaluru,Saas,Lummo exists for entrepreneurs filled with motivation and a zeal to grow.,Krishnan Menon,Jeff Bezos,80000000.0,Series C,2,2022
1346,Uniphore,2008.0,Chennai,Computer Software,"Uniphore is the global leader in Conversational Service Automation (CSA), which combines the power of artificial intelligence, automation technology and machine learning.","Umesh Sachdev, Ravi Saraogi",March Capital,400000000.0,Series E,2,2022
1348,AGRIM,2020.0,Gurugram,Agritech,"A B2B Agri-Input e-commerce marketplace, which brings small retailers and manufacturers on one platform.","Avi Jain, Mukul Garg",Kalaari Capital,10000000.0,Series A,2,2022
1350,GrowFitter,2016.0,Mumbai,"Health, Wellness & Fitness",Growfitter is a gamified digital health reward platform that adds financial benefits to your physical activity!,"Harshit Sethy, Sanmati Pande",DevX Venture Fund,1200000.0,Unknown,2,2022
1352,Propelld,2017.0,Bengaluru,Financial Services,Propelld is a series-B funded fintech company that enables flexible financing solutions through fully digital journeys for learners pursuing education programs at vetted partner institutions.,"Victor Senapaty, Bibhu Prasad Das",WestBridge Capital,35000000.0,Series B,2,2022
1353,Pine Labs,1998.0,Noida,Information Technology & Services,A merchant platform company that provides financing and last-mile retail transaction technology to merchants,"Lokvir Kapoor, Rajul Garg, Tarun Upadhyay",Alpha Wave Venture,150000000.0,Unknown,2,2022
1354,Increff,2016.0,Bengaluru,Computer Software,Increff is a business partner to Fashion and Lifestyle brands and retailers to deliver significant and sustainable increase in sales and inventory efficiency.,Rajul Jain,"TVS Capital Funds, Premji Invest",12000000.0,Series B,2,2022
1356,Fleetx.io,2017.0,Gurugram,Computer Software,Fleetx is an AI-Driven Freight Movement Platform that helps supply chain and logistics stakeholders digitize their operations and helps them make smart decisions based on real time actionable insights.,"Abhay Jeet Gupta, Udbhav Rai, Parveen Kataria Vishal Misra",IndiaMart,19000000.0,Series B,2,2022
1357,MediBuddy,2002.0,Bengaluru,"Health, Wellness & Fitness","MediBuddy - India’s Largest & most Trusted Digital Healthcare Platform for inpatient, outpatient, wellness & fitness needs","Satish Kannan, Enbasekar","Quadria Capital, Lightrock India",125000000.0,Series C,2,2022
1358,Happilo,2016.0,Bengaluru,Food & Beverages,Happilo is a gourmet healthy food brand from Bangalore.,Vikas Nahar,Motilal Oswal,25000000.0,Unknown,2,2022
1361,RetainIQ,2021.0,Bengaluru,E-Commerce,"RetainIQ enables ecommerce stores & brands globally, to convert and retain their customers","Sitakanta Ray, Arpit Gupta, Sulakshan Kumar",Accel Partners,2300000.0,Seed,2,2022
1363,Com Olho,2019.0,Gurugram,Information Technology & Services,Com Olho is a leading cloud-based cyber security as a service platform.,Abhinav Bangia,Inflection Point Venture,2000000.0,Seed,2,2022
1365,Wholsum Foods,2016.0,Gurugram,Food & Beverages,Millet-based food startup,"Meghana Narayan, Shauravi Malik",Investment Corporation of Dubai,7000000.0,Unknown,2,2022
1366,SandLogic,2018.0,Bengaluru,Computer Software,"SandLogic (SL) is an Enterprise AI company, born with a passion to deliver the AI that powers Enterprises.","Kamalakar Devaki, Jesudas Fernandes, Radhika Kanigiri, Ravi Kumar Rayana","Sanjay Singhania, Sai Kumar",4000000.0,Pre-Series A,2,2022
1367,Xoxoday,2012.0,Bengaluru,Computer Software,"Xoxoday provides technology infrastructure to enable businesses to automate rewards, incentives & payouts for employees, customers & channel partners.","Sumit Khandelwal, Manoj Agarwal, Abhishek Kumar, Kushal Agrawal",Giift,30000000.0,Unknown,2,2022
1368,Shipsy,2015.0,Gurugram,Computer Software,"Empower organizations handling trade and logistics to accelerate business growth, optimize costs and enhance customer experiences using our smart end-to-end global logistics management platform.","Soham, Himanshu Gupta, Dhruv Agrawal, Sahil Arora, Harsh Kumar","A91 Partners, Z3 Partners",25000000.0,Series B,2,2022
1377,Accelero Vehicles,2017.0,New Delhi,Automotive,"eBik™ developed by ""Accelero Vehicles India Private Limited” aims to provide motorized mobility for all.",Anant Jain,"Social Alpha, LetsVenture",200000.0,Seed,2,2022
1378,UP Funds,2017.0,Bengaluru,Saas,SaaS Accelerator for founders who care about optionality,Shekar Nair,WestBridge Capital,9000000.0,Unknown,2,2022
1381,TestSigma,2019.0,Bengaluru,Information Technology & Services,A powerful open source test automation platform for modern teams.,"Rukmangada Kandyala, Pratheep Velicherla, Vikram Chaitanya, Rajesh Reddy","Accel, STRIVE",4600000.0,Unknown,2,2022
1382,Upswing Financial Technologies,2021.0,Mumbai,Financial Services,"Enable consumer companies to offer differentiated financial products and empower the financial institutions with greater reach through our Secure, Scalable and easy to integrate API platform.","Anupam Bagchi, Nihar Gupta","Kunal Shah, Rajan Bajaj",4000000.0,Unknown,2,2022
1383,ClaimBuddy,2020.0,Gurugram,Hospital & Health Care,ClaimBuddy.in is a MediClaim support company that acts as one-stop solutions for Claim assistance for Patients & Hospitals.,"Ajit Patel, Khet Singh","Chiratae Ventures, Rebright Partners",3000000.0,Pre-Series A,2,2022
1384,Mamaearth,2016.0,Gurugram,"Health, Wellness & Fitness","Making products which are mum-baby friendly, toxin-free, meet stringent international standards & are basically ultra awesome, MamaEarth was born.",Varun Alagh,Sequoia,52000000.0,Unknown,1,2022
1388,Innoviti Payment Solutions,2002.0,Bengaluru,Financial Services,Innoviti is India’s most exciting payments company that has always brought differentiation through innovative solutions to solve real-world payment problems for businesses.,Rajeev Agrawal,"Trifecta Debt Fund, Patni Advisors, Bessemer Venture Partners",10000000.0,Unknown,1,2022
1389,Pine Labs,1998.0,Noida,Information Technology & Services,"Pine Labs offers a merchant platform that includes technology and financial solutions for merchants to help them in increasing their revenue, reducing the cost and complexity of running business, and managing the risks involved.",Amrish Rau,State Bank of India,20000000.0,Unknown,1,2022
1390,Moneyboxx,2018.0,Mumbai,Financial Services,A NBFC democratising access to capital to the undeserved micro entrepreneurs in Tier 3 and beyond cities of the country.,MAYUR MODI,,1000000.0,Unknown,1,2022
1391,CASHe,2016.0,Mumbai,Financial Services,CASHe is a credit-enabled financial technology platform that offers a wide range of consumer lending products and services including personal loans,Raman,TSLC,10000000.0,Unknown,1,2022
1395,LivFin,2017.0,Gurugram,Financial Services,LIVFIN is a Non-Banking Finance Company (NBFC) registered with the Reserve Bank of India.,Rakesh Malhotra,BlackSoil,2000000.0,Unknown,1,2022
1397,Courseplay,2012.0,Mumbai,E-Learning,"An AI-powered, talent development suite focused on maximizing training ROI for learning-led business growth",Arjun Gupta,Inflection Point Ventures,400000.0,Seed,1,2022
1398,Dunzo,2015.0,Bengaluru,E-Commerce,"Dunzo is an all-in-one 24X7 delivery platform, that picks and delivers anything and everything within the city while guaranteeing super-quick deliveries.","Kabeer Biswas, Ankur Agarwal, Dalvir Suri, Mukund Jha",Reliance Retail Ventures Limited,240000000.0,Unknown,1,2022
1399,Rupifi,2020.0,Bengaluru,Financial Services,Building Financial Solutions for B2B Transactions and Payments,"Anubhav Jain, Ankit Singh, Jawaid Iqbal","Venture Partners, Tiger Global",25000000.0,Series A,1,2022
1400,AarogyaAI,2019.0,New Delhi,Hospital & Health Care,AI-enabled SaaS that diagnoses drug-resistant tuberculosis,"Praapti Jayaswal, Avlokita Tiwari","Redstart Labs, Avaana Capital",700000.0,Seed,1,2022
1402,Power Gummies,2018.0,New Delhi,"Health, Wellness & Fitness",Sell crafted Gummies with Vitamins in pursuit of health powered by happiness and backed by Science.,Divij Bajaj,"9Unicorns, Wipro",6000000.0,Series A,1,2022
1404,Grip Invest,2020.0,Gurugram,Financial Services,"Grip offers investment opportunities to invest in physical assets leased to corporates, to earn fixed monthly returns.","Nikhil Aggarwal, Vivek Gulati",,1000000.0,Unknown,1,2022
1405,Recykal,2017.0,Hyderabad,Information Technology & Services,"Digital Technology company for Waste Management, Recycling Industry","Abhay Deshpande, Abhishek Deshpande",Morgan Stanley,22000000.0,Unknown,1,2022
1406,DMI Finance,2008.0,New Delhi,Financial Services,A pan-India technology-driven financial services company focused on digital lending,Arindam Das,Sumitomo Mitsui Trust Bank,47000000.0,Unknown,1,2022
1407,Rupeek,2015.0,Bengaluru,Financial Services,"Rupeek is India’s leading asset-backed, digital lending fintech platform.",Sumit Maniyar,Lightbox,34000000.0,Unknown,1,2022
1408,Ippo Pay,2020.0,Chennai,Financial Services,"Ippopay provides Payment Solutions for Businesses, SMEs, and Freelancers. IppoPay is the first Payment Gateway from TN",Jai Kumar,Coinbase Ventures,2000000.0,Unknown,1,2022
1409,OneDios,2019.0,Noida,Information Technology & Services,"OneDios founded in 2019  is a startup initiative to provide ""direct from company"" end customer service experience to all Indian customers.",Nitin Chawala,"India Angel Network, LetsVenture",1200000.0,Unknown,1,2022
1410,zeda.io,2021.0,Bengaluru,Computer Software,"Zeda.io helps Product Teams and entrepreneurs to define, manage, and collaborate on their Products.","Vaibhav Devpura, Prashant Mahajan",BEENEXT,1200000.0,Seed,1,2022
1411,Glamplus,2020.0,Bengaluru,Computer Software,"Glamplus is a SAAS platform in the beauty and wellness space to digitize $200bn economy of Salons, Spas and Gyms in India and the South-East Asia market. We are spread across 15+ cities.",Divyanshu Singh,Blume Ventures,700000.0,Unknown,1,2022
1412,Refyne,2020.0,Bengaluru,Financial Services,Refyne partners with organisations to extend on-demand Earned Wage Access (EWA) to their employees.,"Chitresh Sharma, Apoorv Kumar",Tiger Global,82000000.0,Series B,1,2022
1413,Lendingkart,2014.0,Ahmedabad,Financial Services,Lendingkart Group aims to make working capital finance available at the fingertips of entrepreneurs,"Harshvardhan Lunia, Mukul Sachan",BlueOrchard Finance,5900000.0,Unknown,1,2022
1414,Muvin,2020.0,Bengaluru,Financial Services,Muvin aims to enable youth to get accustomed to banking from an early age.,"Vineet Gupta, Mukund Rao",WaterBridge Ventures,3000000.0,Pre-Series A,1,2022
1415,Freadom,2008.0,Gurugram,E-Learning,"Freadom is India’s first comprehensive learning platform for children aged 3-12 to strengthen their English reading, speaking and conversation skills.",Nikhil Saraf,"Tiger Shroff, Ashneer Grover",2500000.0,Unknown,1,2022
1416,Traya,2019.0,Mumbai,"Health, Wellness & Fitness",Traya provides doctor prescribed treatment plans that help manage hair loss upto stage 4.,"Saloni Anand, Altaf Saiyed",Fireside Ventures,2200000.0,Pre-Series A,1,2022
1418,Pepul,2020.0,Chennai,Computer Software,"Pepul is a new age Interest-based Social Networking platform from India, where people share their beautiful life stories & skills on their interests.",Suresh Kumar,"Hourglass Venture Partners, Girish Mathrubootham, Vijay Shekhar Sharma",1300000.0,Seed,1,2022
1419,Kaleidofin,2017.0,Chennai,Financial Services,Kaleidofin is a fintech platform that propels under-banked customers towards meeting their real life goals by providing intuitive and tailored financial solutions,"Puneet Gupta, Sucharita Mukherjee",Michael & Susan Dell Foundation,10000000.0,Series B,1,2022
1420,LEAD School,2012.0,Mumbai,Edtech,LEAD is one of the fastest-growing School Ed-tech companies of India.,"Sumeet Yashpal Mehta, Smita Deorah",WestBridge Capital,100000000.0,Unknown,1,2022
1423,ORAI Robotics,2019.0,Bengaluru,Information Technology & Services,AI-Powered Robotic Virtual Assistant (RVA) for Amplifying Performance of Poor quality leads and bring more MQL and SQL,"Swapnil Jain, Sujit Das Biswas",Inflection Point Ventures,800000.0,Pre-Series A,1,2022
1424,EVage,2014.0,Chandigarh,Automotive,"EVage is India's leading all-electric, purpose-built commercial vehicle OEM and has fused automobile designing with the ingenuity of aerospace engineering to reimagine and transform the mobility industry.",Inderveer Singh,RedBlue Capital,28000000.0,Seed,1,2022
1427,ZingHR,2014.0,Mumbai,Information Technology & Services,"Fully-integrated Global HRMS HRTech platform to deliver outcomes for future ready enterprises, CXOs & leaders globally.",Prasad Rajappan,Tata Capital Growth Fund II,10000000.0,Unknown,1,2022
1428,HEAPS,2021.0,Bengaluru,"Health, Wellness & Fitness",HEAPS is a health tech platform and Software as a Service (SaaS) provider,Dr Suman Katragadda,NVS Wealth Managers,550000000.0,Series A,1,2022
1430,CarzSo India,2019.0,Gurugram,Automotive,"Offer a virtual reality of cars inside & out, helping check out the features online from the comfort of home",Vaibhav Sharma,Mytash,700000.0,Unknown,1,2022
1431,Edustoke,2016.0,Bengaluru,Edtech,"Edustoke is India's Largest School Discovery, Selection & Reviews Platform.","Pawas Tyagi, Rohit Malik",Indus Initiatives,400000.0,Seed,1,2022
1434,Arya.Ag,2013.0,Noida,Agritech,World's Local Cloud Boutique mobile app - Exclusively for Ladieswear.,"Chattanathan Devarajan, Prasanna Rao, Chandra","Asia Impact SA, Lightrock India, Quona Capital",60000000.0,Series C,1,2022
1436,INDmoney,2019.0,Gurugram,Financial Services,INDmoney is a Super Money App that brings all family's finances to one place.,Ashish Kashyap,"Steadview Capital, Tiger Global, Dragoneer Investment Group",75000000.0,Series D,1,2022
1439,AppX,2020.0,New Delhi,Software,Enables creators to run their online businesses from their own storefront,"Sameer Sadana, Anuj Gupta",Y Combinator,1300000.0,Unknown,1,2022
1440,MyCaptain,2013.0,Bengaluru,Edtech,MyCaptain is an ed-tech startup that enables every human to pursue a career they love.,"Mohammed Zeeshan, Sameer Ramesh, Ruhan Naqash",Ankur Capital,3000000.0,Pre-Series A,1,2022
1442,HUVIAiR,2016.0,Bengaluru,Computer Software,Huviair is a construction technology company that helps business' to enhance on-site productivity and reduce progress monitoring time while cutting down on overall project costs.,"Vikshut Mundkur, Arjun P Janananda",Chiratae Ventures,3200000.0,Series A,1,2022
1444,Scripbox,2012.0,Bengaluru,Financial Services,Scripbox is India's leading digital wealth management service.,"Ashok Kumar, Sanjiv Singhal","Accel Partners, Transpose Platform, the Sparkle Fund",21000000.0,Series D,1,2022
1445,Pluckk,2017.0,Mumbai,Food & Beverages,Fresh produce food-tech venture,Pratik Gupta,Exponentia Ventures,5000000.0,Seed,1,2022
1446,Dogsee Chew,2015.0,Bengaluru,Food & Beverages,100% Natural Dog Treats.,"Bhupendra Khanal, Sneh Sharma","Mankind Pharma, Sixth Sense Ventures",6700000.0,Series A,1,2022
1448,Threedots,2021.0,Bengaluru,Financial Services,A community investing platform,"Prakhar Bhardwaj, Rishu Garg, Akul Agarwal",Kalaari Capital,4000000.0,Seed,1,2022
1449,MatchLog,2019.0,Mumbai,Logistics & Supply Chain,First Multi-Modal Marketplace with Power of Triangulation and Cargo network to DELIVER ZERO WASTAGE,Dhruv Taneja,"Blue Ashva Capital, Rainmatter Climate, Capital-A",3000000.0,Unknown,1,2022
